component,risk_level,story_points,num_stories,actual_bugs,test_coverage,code_churn,team_velocity,team_size,complexity_score,team_experience,dependencies,previous_bugs
Payment Gateway,critical,34,6,14,65.0,5044,55,7,3,4.136850367947805,5,14
Email Service,high,18,6,7,65.0,4085,45,4,3,4.386828540339652,4,7
Payment Gateway,low,23,7,4,65.0,4821,50,6,3,5.292271976810694,4,4
User Authentication,low,25,6,5,65.0,6401,45,6,4,3.6676050362024895,1,5
Frontend Dashboard,critical,35,6,16,65.0,3498,66,3,3,4.75712358831304,4,16
Payment Gateway,critical,18,6,8,65.0,7794,47,6,2,2.9289750461585076,4,8
User Authentication,critical,35,5,15,65.0,2452,38,3,3,4.175212749207415,3,15
Frontend Dashboard,critical,30,6,14,65.0,4776,60,6,3,5.386517645423625,2,14
Email Service,medium,34,6,10,65.0,4896,53,7,3,4.38267424025219,3,10
Frontend Dashboard,critical,42,7,18,65.0,6157,48,2,3,4.250968335552616,1,18
Billing & Invoicing,high,36,7,18,65.0,3365,53,3,4,5.098191668501225,1,18
Email Service,critical,52,4,22,65.0,4712,52,5,3,3.7444585070129954,2,22
Email Service,medium,32,5,10,65.0,3084,48,5,2,4.51510205321757,3,10
Email Service,critical,38,9,18,65.0,7430,51,6,3,5.129960807975035,3,18
Email Service,critical,39,4,21,65.0,6612,35,3,4,3.544766401069901,3,21
Payment Gateway,critical,10,6,9,65.0,6177,47,2,4,3.9778542819786087,2,9
Payment Gateway,critical,36,5,14,65.0,4752,57,3,2,2.6226058487994366,2,14
Email Service,critical,37,5,13,65.0,1067,49,5,3,4.383701168472723,1,13
Frontend Dashboard,medium,31,7,9,65.0,3975,45,4,3,3.6067409187093173,3,9
Payment Gateway,critical,10,4,9,65.0,6463,42,5,3,4.09785179936507,2,9
Email Service,critical,25,9,10,65.0,4843,61,5,3,4.73631842255299,3,10
Email Service,critical,22,3,15,65.0,6418,50,5,2,2.8053474178612112,2,15
Email Service,critical,25,6,10,65.0,5305,49,4,4,5.096521377681941,4,10
Email Service,critical,22,6,12,65.0,7544,57,3,2,3.471037709212731,3,12
User Authentication,critical,35,7,14,65.0,4746,40,4,3,2.9032440308169227,1,14
Billing & Invoicing,critical,32,7,14,65.0,6136,44,8,3,3.546604799628986,5,14
Payment Gateway,high,36,6,12,65.0,6794,52,5,2,2.9909678285971135,2,12
Payment Gateway,low,27,6,1,65.0,6428,47,6,3,3.8880393570088194,2,1
Payment Gateway,low,35,7,7,65.0,5247,56,2,2,4.8820755678108885,3,7
User Authentication,medium,45,6,12,65.0,3500,62,5,4,3.5262452461477225,4,12
Email Service,medium,29,5,7,65.0,6112,42,6,3,4.128173330042788,2,7
Email Service,critical,47,7,21,65.0,998,51,8,3,2.5543305514625216,4,21
API Gateway,low,37,4,8,65.0,7979,60,7,4,5.2767055387203285,3,8
Email Service,high,26,7,16,65.0,4634,58,4,2,3.5004975150734325,2,16
User Authentication,medium,18,5,3,65.0,4425,37,4,3,3.7567763485136436,5,3
Email Service,low,29,7,4,65.0,4583,50,5,3,2.7012294321652823,4,4
Email Service,medium,26,6,7,65.0,3673,50,4,3,3.8222882408146845,3,7
User Authentication,critical,49,5,22,65.0,5732,56,3,3,2.5761590669810346,2,22
Payment Gateway,low,40,5,5,65.0,2827,55,4,3,5.067089404318857,4,5
Email Service,low,28,4,4,65.0,7785,40,3,3,4.270884827544423,2,4
User Authentication,critical,10,6,11,65.0,3951,53,4,4,4.8995657678419455,3,11
Email Service,critical,44,7,22,65.0,4162,39,5,2,2.5551720296424003,5,22
Email Service,low,36,8,3,65.0,5281,57,7,2,5.243235837774879,3,3
Email Service,low,43,6,8,65.0,5820,37,3,3,4.657137715552737,2,8
User Authentication,low,37,4,8,65.0,3900,50,8,3,4.812736611237465,2,8
Email Service,low,31,6,11,65.0,4191,53,5,3,3.316435411689888,3,11
Email Service,critical,31,6,16,65.0,5487,54,5,3,5.047586954695958,2,16
User Authentication,critical,44,6,21,65.0,4502,59,4,4,3.4573014197297667,4,21
Email Service,low,27,6,5,65.0,6940,42,4,3,4.872169494516891,2,5
Payment Gateway,medium,27,7,5,65.0,4934,59,3,3,3.9396268609117264,3,5
Frontend Dashboard,high,27,9,14,65.0,4158,47,2,2,3.20082325314973,1,14
Email Service,high,22,3,4,65.0,5989,48,3,4,5.334196066874231,3,4
User Authentication,critical,34,6,17,65.0,3797,45,4,3,3.5503757775001903,1,17
Billing & Invoicing,medium,26,3,7,65.0,6596,52,4,2,3.1714528444678693,3,7
User Authentication,low,25,6,5,65.0,5949,66,4,3,3.2792613512809785,4,5
User Authentication,critical,23,4,13,65.0,3411,59,5,3,4.534048457677191,3,13
Email Service,medium,38,7,14,65.0,6626,59,7,2,5.142612277596785,4,14
Email Service,low,39,4,7,65.0,5677,53,5,3,2.5191576151505006,2,7
User Authentication,high,17,7,9,65.0,4345,51,5,4,3.525616498116058,3,9
API Gateway,critical,49,6,22,65.0,4184,47,5,3,3.53764917085887,3,22
Email Service,medium,26,9,9,65.0,3934,65,2,2,4.884428646249788,3,9
Email Service,critical,10,8,9,65.0,2952,49,5,3,3.692783193888383,2,9
Billing & Invoicing,critical,29,3,15,65.0,4719,58,5,3,5.034349684350663,4,15
Payment Gateway,critical,37,7,20,65.0,4773,52,3,3,3.10157418010101,3,20
Email Service,low,41,5,7,65.0,4105,30,2,3,5.080367191567614,4,7
Email Service,low,40,5,7,65.0,4818,54,7,2,3.4793839247319758,3,7
Email Service,critical,21,9,10,65.0,3908,54,7,2,5.308636738731069,1,10
User Authentication,low,42,7,9,65.0,6663,50,6,4,3.8569548535549005,3,9
User Authentication,low,25,5,4,65.0,5723,45,4,3,4.657605334816791,2,4
Billing & Invoicing,high,56,7,16,65.0,5207,58,4,3,4.728119563599943,3,16
Email Service,critical,34,9,18,65.0,6646,49,4,2,4.277050985780087,5,18
Email Service,low,42,7,12,65.0,3718,52,4,3,3.241693223209531,4,12
User Authentication,low,45,5,5,65.0,2707,59,4,4,3.8613686241509177,2,5
Email Service,critical,36,6,11,65.0,6903,55,2,3,3.0011257237028497,2,11
Email Service,low,28,6,11,65.0,6566,51,4,2,2.6712605682679444,3,11
API Gateway,critical,30,4,14,65.0,5600,45,5,2,5.459890368876541,5,14
Email Service,medium,42,8,13,65.0,8322,48,6,2,4.520297299974752,5,13
Email Service,low,20,5,7,65.0,3334,49,8,3,5.106714953436155,3,7
Email Service,medium,44,7,16,65.0,7567,40,5,4,2.644636116581668,5,16
Email Service,medium,24,8,9,65.0,5446,36,3,3,4.923537825823775,4,9
Payment Gateway,low,30,5,7,65.0,3036,38,7,3,3.8460808678675917,2,7
Email Service,critical,23,4,12,65.0,7402,32,3,4,4.057245355408654,3,12
Email Service,critical,17,8,5,65.0,7153,54,5,4,2.554697748029085,2,5
Email Service,low,41,6,8,65.0,5774,49,3,2,3.3546187058857684,2,8
Payment Gateway,low,42,4,5,65.0,3225,48,5,2,4.075490151001181,4,5
Email Service,low,21,6,8,65.0,4961,53,5,3,4.957566578280371,4,8
Email Service,critical,16,3,13,65.0,3663,57,4,3,2.7866059415040043,3,13
User Authentication,low,46,4,10,65.0,5608,59,7,3,3.195841288347926,2,10
User Authentication,low,23,9,9,65.0,5800,63,4,2,5.182572623992355,2,9
Email Service,critical,30,5,13,65.0,4911,45,6,3,5.140237262684375,3,13
User Authentication,critical,45,9,17,65.0,3686,49,5,2,4.570014672461998,2,17
User Authentication,critical,33,5,19,65.0,2840,45,2,2,5.477450506475126,5,19
User Authentication,medium,58,6,17,65.0,5077,48,6,2,3.409385067835986,2,17
Email Service,critical,42,7,19,65.0,2199,67,3,3,5.258175919643252,3,19
Billing & Invoicing,medium,33,7,10,65.0,5300,52,3,2,3.7089405362954846,2,10
Payment Gateway,critical,43,6,19,65.0,5184,69,4,3,3.0245158817812374,3,19
Email Service,critical,25,6,12,65.0,4739,53,5,3,2.8169940527852315,3,12
Email Service,low,10,6,1,65.0,4752,45,4,2,3.4098254427027865,2,1
Payment Gateway,critical,34,6,16,65.0,6432,38,1,2,5.1598126457214,3,16
Email Service,critical,42,5,22,65.0,6121,49,4,3,2.55757683046917,2,22
Payment Gateway,critical,16,6,9,65.0,5054,42,6,2,3.9647234110653344,2,9
Email Service,low,30,5,1,65.0,1078,52,5,4,4.860710158765885,2,1
Payment Gateway,low,39,10,7,65.0,6087,52,6,2,4.0552240658356125,2,7
Payment Gateway,low,49,6,9,65.0,4101,43,6,2,3.5491096892375484,4,9
Payment Gateway,critical,45,8,22,65.0,2496,62,4,3,4.8239013419133645,3,22
User Authentication,critical,29,9,17,65.0,5841,43,5,3,5.284250920978149,2,17
Email Service,low,55,5,8,65.0,5366,56,6,4,5.039543016070834,5,8
Email Service,low,25,5,8,65.0,6075,41,5,3,5.454009218573525,5,8
Email Service,critical,36,5,15,65.0,6911,50,5,3,4.02508164074884,2,15
User Authentication,low,51,7,11,65.0,5649,47,4,2,4.6793851453390145,5,11
Email Service,critical,25,9,14,65.0,2871,53,6,3,2.515688840628738,4,14
Email Service,low,25,4,2,65.0,3494,43,1,3,5.158587341395224,3,2
Email Service,critical,15,5,12,65.0,3919,51,7,3,4.310462999789364,3,12
Payment Gateway,critical,54,8,22,65.0,3778,57,6,3,3.820596993866472,2,22
Email Service,low,31,8,6,65.0,3156,64,6,2,3.7297146690888647,4,6
Email Service,low,38,6,5,65.0,2907,45,6,3,3.396176720766319,5,5
Email Service,low,38,3,7,65.0,4810,64,7,3,2.976724503008061,3,7
Email Service,low,27,6,7,65.0,3375,52,4,2,3.3158491783858928,4,7
User Authentication,low,32,2,5,65.0,6079,47,5,4,2.6567736378580715,3,5
Email Service,low,38,7,5,65.0,8863,50,5,3,2.8422873546638003,2,5
Email Service,critical,34,4,18,65.0,5567,55,5,3,2.7451760372403347,3,18
User Authentication,critical,28,9,12,65.0,3139,44,5,3,4.9192108516985185,3,12
Email Service,low,25,5,4,65.0,5059,62,5,4,5.11173527513802,2,4
User Authentication,high,29,4,11,65.0,6318,42,4,3,4.9663094818006766,2,11
Payment Gateway,high,33,7,9,65.0,7965,58,4,4,4.09908660173842,2,9
Payment Gateway,low,46,5,11,65.0,5658,45,4,4,4.462877656974886,2,11
User Authentication,low,32,6,10,65.0,3093,53,4,2,2.5378225599272772,3,10
User Authentication,low,43,7,7,65.0,5361,64,5,3,3.913503696798444,4,7
User Authentication,critical,46,4,20,65.0,6251,54,4,2,3.5438242347465,3,20
Payment Gateway,low,28,8,2,65.0,6889,50,5,2,4.528532686226302,2,2
Payment Gateway,critical,35,7,15,65.0,6302,39,5,3,3.1379331291132884,1,15
Email Service,low,53,7,12,65.0,6240,52,5,3,2.8329684076404433,3,12
User Authentication,medium,10,5,6,65.0,5407,51,6,2,5.232310484931745,4,6
Payment Gateway,critical,27,5,15,65.0,4214,52,4,3,2.7896034105863223,2,15
Email Service,low,41,4,4,65.0,6433,63,4,3,2.60401080017945,3,4
Billing & Invoicing,medium,30,6,8,65.0,6787,52,5,4,5.136936700846801,3,8
User Authentication,low,25,7,1,65.0,4628,57,7,3,4.607901319256549,2,1
User Authentication,critical,46,2,20,65.0,5094,61,5,3,4.402312094128994,1,20
Email Service,critical,25,5,12,65.0,2522,49,2,2,4.049717885337937,1,12
Email Service,critical,40,5,21,65.0,9388,53,4,3,2.7612783003873145,3,21
Email Service,critical,44,9,20,65.0,3680,37,2,4,4.642097933400569,3,20
Email Service,low,14,5,4,65.0,5425,43,1,3,2.863075001455579,3,4
Payment Gateway,critical,29,6,12,65.0,3046,61,4,3,5.23986084272871,3,12
Frontend Dashboard,low,32,4,7,65.0,3784,71,4,2,2.869009885371237,3,7
Email Service,low,43,4,10,65.0,2875,57,6,3,4.895141021555057,4,10
Frontend Dashboard,medium,24,4,3,65.0,6800,62,6,3,3.623658661060364,2,3
User Authentication,critical,28,8,15,65.0,3923,48,2,3,4.317337748358071,2,15
Email Service,high,23,5,14,65.0,2953,50,4,4,3.652620138957401,1,14
Email Service,critical,29,7,18,65.0,6012,47,6,4,3.365216313456237,5,18
Email Service,critical,36,2,18,65.0,2897,62,5,4,3.821324050937272,2,18
Email Service,critical,30,2,13,65.0,3075,51,8,3,3.7053364019629726,5,13
Frontend Dashboard,low,22,8,10,65.0,2738,49,4,3,3.1832492083096287,5,10
Frontend Dashboard,low,44,6,9,65.0,5302,47,5,4,2.946387908215347,3,9
Billing & Invoicing,low,28,8,7,65.0,3457,55,3,3,4.033826386602254,3,7
User Authentication,medium,31,7,10,65.0,5778,50,4,4,3.817449449901245,4,10
Frontend Dashboard,critical,30,8,14,65.0,5175,65,4,3,4.577597294611324,2,14
Email Service,critical,25,7,14,65.0,6059,54,4,3,4.806768346322923,3,14
Payment Gateway,medium,37,6,9,65.0,4816,36,2,2,3.546461601908438,2,9
Payment Gateway,medium,11,6,5,65.0,5950,57,2,2,3.3430134967261407,4,5
API Gateway,critical,23,7,11,65.0,4636,50,5,3,3.5734422523406466,3,11
Email Service,medium,10,9,5,65.0,5204,46,6,4,4.911875522657561,3,5
User Authentication,critical,21,7,9,65.0,4809,52,3,2,4.7459357023786,2,9
Email Service,low,28,7,6,65.0,3764,47,2,4,3.4400437527554293,4,6
Frontend Dashboard,low,23,7,5,65.0,8145,62,3,3,2.5130898089509275,2,5
Payment Gateway,low,33,5,7,65.0,5878,59,4,4,4.001203437130604,3,7
User Authentication,critical,27,3,10,65.0,4325,46,5,3,3.916845412488945,4,10
Email Service,low,15,6,6,65.0,3412,59,3,3,3.0976458246821594,4,6
Email Service,critical,50,6,18,65.0,2974,48,1,3,4.092813035236281,3,18
Email Service,low,32,3,8,65.0,6043,55,5,2,2.550842994668743,4,8
Payment Gateway,critical,32,4,17,65.0,5280,57,2,4,5.041182480951699,1,17
Frontend Dashboard,low,29,3,10,65.0,4684,36,4,2,5.373369402964611,5,10
Payment Gateway,high,50,6,19,65.0,3777,44,4,2,4.36724092469799,4,19
User Authentication,critical,37,9,20,65.0,3510,39,4,3,5.170423412188044,4,20
Email Service,critical,37,5,14,65.0,5826,50,2,3,2.728717653920693,2,14
Payment Gateway,low,10,3,7,65.0,4143,54,2,3,4.280682806136358,1,7
User Authentication,high,37,5,15,65.0,5805,49,3,3,3.24202094745725,3,15
Payment Gateway,critical,48,5,22,65.0,2781,54,6,3,2.786197831939632,3,22
Email Service,low,27,6,4,65.0,2256,39,2,3,5.2552792964362265,5,4
User Authentication,critical,24,2,14,65.0,2846,55,5,2,2.616789889977002,1,14
Email Service,medium,21,9,3,65.0,9228,43,6,3,5.1822829075997525,5,3
Frontend Dashboard,low,30,3,10,65.0,2777,52,6,2,2.7134748555202983,1,10
API Gateway,low,27,5,9,65.0,6445,58,6,3,2.954785224400298,4,9
User Authentication,critical,26,6,13,65.0,3734,50,3,2,2.5044214662589344,4,13
Billing & Invoicing,critical,20,7,13,65.0,6737,41,3,3,4.950338399516908,2,13
Email Service,medium,25,9,11,65.0,4997,43,3,3,4.251318341542335,5,11
Email Service,critical,38,7,13,65.0,6189,50,3,3,3.6078423106466233,5,13
Payment Gateway,low,28,6,10,65.0,5961,53,6,2,3.5360258567346636,2,10
Billing & Invoicing,medium,25,7,11,65.0,5002,30,4,2,4.858616956783174,4,11
Email Service,critical,15,7,8,65.0,5687,50,5,3,5.087921413447537,2,8
Payment Gateway,low,25,5,3,65.0,3176,53,6,3,3.251403696377497,3,3
User Authentication,low,28,2,6,65.0,3147,39,2,3,3.713582156721609,1,6
Payment Gateway,critical,44,4,22,65.0,4585,54,4,3,4.514437446001621,3,22
Email Service,low,27,4,6,65.0,5426,49,5,2,5.412029636229232,2,6
Email Service,low,23,9,4,65.0,2099,43,4,3,3.305601268202822,2,4
Payment Gateway,high,24,5,10,65.0,7633,60,3,2,5.395046108363416,2,10
Payment Gateway,low,41,7,5,65.0,2306,48,5,3,4.603418783252421,3,5
Email Service,critical,15,7,10,65.0,6722,47,5,4,2.8056793026188105,1,10
User Authentication,critical,21,6,12,65.0,4127,63,4,2,4.268361968454092,3,12
Payment Gateway,critical,26,6,13,65.0,3555,44,3,2,3.876821549790461,4,13
User Authentication,low,23,7,6,65.0,5199,61,6,3,4.06434707250064,1,6
Email Service,medium,44,4,18,65.0,5360,55,4,3,3.2451508262296227,4,18
User Authentication,low,48,6,11,65.0,1912,44,5,3,5.281331886575282,2,11
Payment Gateway,critical,18,5,12,65.0,6167,52,5,2,3.3675623388878497,2,12
Email Service,low,43,7,4,65.0,4081,44,6,4,5.358445051007518,2,4
Email Service,low,29,6,4,65.0,5466,47,6,4,4.745067560997219,3,4
User Authentication,critical,37,7,15,65.0,6090,50,7,2,2.750663012532069,1,15
Email Service,medium,24,5,5,65.0,8883,53,2,2,5.379588408140366,3,5
User Authentication,critical,26,2,16,65.0,6607,50,3,3,5.111580898808152,3,16
User Authentication,critical,22,4,12,65.0,3203,55,6,2,4.023415191876337,3,12
Email Service,low,29,4,6,65.0,6446,41,6,2,4.670330987064736,3,6
Frontend Dashboard,low,31,8,9,65.0,2666,48,3,3,4.91061297838781,5,9
Email Service,critical,31,7,14,65.0,4929,51,4,2,3.6264067853995012,4,14
User Authentication,high,11,4,7,65.0,3820,48,4,3,4.470188454164823,4,7
Email Service,critical,10,10,6,65.0,7367,61,5,3,4.909006215873511,3,6
Email Service,low,47,5,11,65.0,5348,53,5,3,4.462398211083621,4,11
User Authentication,low,35,3,7,65.0,6405,44,3,2,3.1447379111091873,3,7
Frontend Dashboard,low,22,7,9,65.0,3764,56,3,4,4.409122844600123,2,9
Email Service,critical,42,7,16,65.0,5881,58,5,3,4.782553992792345,2,16
Email Service,low,21,6,0,65.0,5014,47,6,4,3.475871855085243,5,0
Billing & Invoicing,low,29,7,5,65.0,5064,59,3,4,5.074069813021687,5,5
Email Service,critical,21,6,10,65.0,5410,61,6,2,2.543144338216255,4,10
User Authentication,low,17,9,7,65.0,5404,63,7,4,4.770190501205704,3,7
Payment Gateway,critical,37,6,14,65.0,5894,57,4,3,4.524358906502232,3,14
Email Service,medium,33,3,10,65.0,6644,39,6,2,4.407820980480133,3,10
Email Service,low,54,5,9,65.0,7435,56,5,4,4.107805236556355,3,9
Email Service,critical,37,7,13,65.0,6126,36,6,2,2.595231296118966,3,13
Email Service,low,19,7,6,65.0,6342,44,5,4,3.8950285525792827,4,6
Email Service,critical,41,6,19,65.0,4561,44,3,3,3.3056865023609276,2,19
Email Service,critical,31,7,16,65.0,2859,41,4,2,3.565959245421663,3,16
Email Service,critical,28,6,13,65.0,4225,34,4,3,4.911414671450426,2,13
User Authentication,low,36,5,5,65.0,4722,43,6,2,3.7558218247549897,3,5
Payment Gateway,low,26,7,8,65.0,6193,59,5,4,5.168557933131289,2,8
Email Service,low,31,8,11,65.0,6435,47,2,3,4.787340876024605,2,11
Email Service,medium,22,3,8,65.0,9311,40,5,3,3.6165197657406916,3,8
Email Service,low,25,5,3,65.0,3946,56,3,3,4.893196790044642,2,3
Email Service,low,34,7,8,65.0,3233,44,3,4,3.2490068582206906,2,8
Email Service,medium,38,4,14,65.0,1392,45,4,4,2.6201773571520834,2,14
Email Service,critical,22,7,11,65.0,4514,49,3,3,4.290732071639969,5,11
Payment Gateway,critical,28,6,14,65.0,6131,51,5,2,2.604734657968671,3,14
User Authentication,medium,60,5,13,65.0,3373,43,4,3,4.904337328668861,2,13
Payment Gateway,critical,24,7,14,65.0,4564,55,5,3,3.203276800034544,2,14
Email Service,high,46,6,17,65.0,2429,40,6,4,5.341484388700744,4,17
Payment Gateway,critical,42,5,22,65.0,2135,46,6,4,3.0571992160155568,2,22
API Gateway,critical,27,6,10,65.0,5660,36,5,3,4.485740897911034,4,10
Payment Gateway,low,21,7,9,65.0,6740,41,3,2,3.5263228625907823,3,9
Payment Gateway,critical,25,9,13,65.0,1784,56,2,3,2.993216587236636,2,13
User Authentication,medium,46,7,11,65.0,5294,60,6,3,3.4803841175733323,1,11
Payment Gateway,low,35,4,8,65.0,4695,51,3,3,2.597330338141561,3,8
User Authentication,critical,35,6,13,65.0,1689,43,4,2,4.341910918975698,2,13
User Authentication,critical,53,6,22,65.0,4310,59,4,3,3.1271781211205383,1,22
User Authentication,low,27,8,7,65.0,4173,59,2,4,2.855931297224741,5,7
Payment Gateway,low,28,5,6,65.0,4337,51,5,3,4.644259829331837,1,6
User Authentication,critical,39,5,18,65.0,6042,33,6,4,4.335493060309664,2,18
Email Service,critical,28,2,11,65.0,6991,48,3,2,2.970438115950417,4,11
Email Service,low,15,9,5,65.0,5230,55,3,3,4.093882055052796,3,5
User Authentication,low,51,6,9,65.0,6938,48,6,3,5.245182197551667,2,9
Frontend Dashboard,low,10,2,3,65.0,4699,53,3,3,4.916290129137938,5,3
Email Service,low,46,5,9,65.0,6661,53,3,2,3.421649251063813,3,9
User Authentication,critical,29,6,11,65.0,4533,43,6,2,3.201438499279192,1,11
Frontend Dashboard,high,50,5,16,65.0,4679,50,4,3,2.5859572827329638,3,16
Email Service,low,31,2,6,65.0,4924,53,6,2,5.2127298742226955,2,6
User Authentication,critical,21,5,14,65.0,5943,55,4,4,2.7860827638190107,3,14
Email Service,medium,10,4,3,65.0,2802,50,6,3,2.961699714081321,2,3
Email Service,critical,35,4,20,65.0,3429,54,3,2,5.158258326440549,4,20
Email Service,critical,16,7,8,65.0,6480,54,3,3,3.5814235154246616,3,8
Email Service,critical,28,8,15,65.0,5227,47,2,3,3.7335714276084735,3,15
Email Service,low,28,6,7,65.0,5225,60,3,3,3.25907902276076,4,7
Email Service,critical,24,7,11,65.0,7658,62,6,3,3.787187107907998,2,11
Payment Gateway,critical,20,8,12,65.0,5327,42,3,3,5.286578649536697,2,12
User Authentication,critical,46,5,20,65.0,4403,61,1,2,3.387796088309848,3,20
Billing & Invoicing,critical,34,6,18,65.0,2086,58,4,2,4.644156500506108,2,18
User Authentication,low,40,6,8,65.0,6782,49,5,2,3.315863678194596,2,8
Payment Gateway,low,29,4,6,65.0,5960,65,3,2,4.994554999336671,5,6
Payment Gateway,critical,28,4,17,65.0,5315,39,3,2,4.120898220284499,4,17
API Gateway,low,22,2,5,65.0,2264,62,4,3,2.789934502863257,2,5
Billing & Invoicing,low,30,6,9,65.0,6540,43,2,3,4.546575067765296,2,9
Email Service,low,34,8,5,65.0,5739,52,7,3,3.0599198193930475,1,5
Email Service,low,32,6,9,65.0,4457,70,4,3,2.7580964710988294,1,9
Email Service,low,15,8,4,65.0,4852,45,3,3,4.340913708968151,4,4
Payment Gateway,low,41,8,6,65.0,8447,54,3,3,3.575864745860774,5,6
Email Service,critical,21,4,14,65.0,4384,62,6,2,2.861342019989696,3,14
Billing & Invoicing,critical,30,5,14,65.0,4892,33,3,3,2.8454385351856035,4,14
Email Service,critical,24,5,17,65.0,5520,51,4,3,4.2452099422635605,3,17
Email Service,critical,19,5,7,65.0,5978,50,3,3,5.115739183841517,3,7
Email Service,low,23,7,5,65.0,2238,43,4,3,4.287039472484588,1,5
API Gateway,low,31,6,9,65.0,3476,58,5,3,3.331207749140199,5,9
Email Service,medium,37,7,5,65.0,4487,66,3,3,4.43186973834284,2,5
Email Service,low,27,7,5,65.0,2450,52,6,3,4.89935009333735,3,5
Payment Gateway,low,37,7,11,65.0,8627,57,5,3,3.054515193841075,1,11
User Authentication,low,18,6,1,65.0,5246,40,4,2,3.106881847474611,2,1
Email Service,critical,10,8,12,65.0,4887,40,7,4,4.17362102698022,5,12
Email Service,critical,53,7,22,65.0,6218,36,5,3,5.468516000152968,3,22
API Gateway,critical,43,8,14,65.0,4354,29,4,3,3.0312467661918694,1,14
API Gateway,low,31,8,4,65.0,3916,54,6,3,3.9252696186003044,5,4
Email Service,critical,45,6,18,65.0,4023,39,5,2,4.897473913314347,2,18
Payment Gateway,low,31,6,9,65.0,5324,51,4,2,3.747455704055233,3,9
Email Service,low,21,5,9,65.0,4527,66,2,3,4.2267802859202455,2,9
User Authentication,low,20,6,1,65.0,3820,37,5,3,4.20217283246822,4,1
Payment Gateway,low,20,5,5,65.0,5431,70,2,3,2.5718387958114506,3,5
API Gateway,critical,32,6,13,65.0,8375,54,1,4,3.0888829069332013,1,13
Frontend Dashboard,low,34,5,9,65.0,5388,51,3,2,3.0959337306922174,2,9
Email Service,low,35,9,4,65.0,5188,38,5,2,3.7009385085189823,4,4
Email Service,low,44,10,10,65.0,6946,59,3,4,2.647662743622285,2,10
Frontend Dashboard,critical,43,5,18,65.0,6765,40,6,3,4.780016634886295,2,18
Email Service,critical,32,5,15,65.0,6006,55,3,3,4.687929401431619,3,15
Email Service,low,29,2,5,65.0,6124,45,2,2,3.0958948415856073,4,5
Frontend Dashboard,critical,37,5,18,65.0,4650,53,4,3,2.8270408469227863,2,18
Email Service,low,30,7,5,65.0,5558,52,5,3,3.4948505473235016,3,5
Payment Gateway,low,28,6,4,65.0,6835,39,6,4,3.4387586440864677,4,4
Email Service,low,38,8,10,65.0,4246,48,7,4,3.650191423174777,2,10
Frontend Dashboard,low,39,10,6,65.0,6972,48,5,2,5.016561585712207,3,6
Payment Gateway,critical,41,7,19,65.0,3315,50,5,3,3.3116777694639743,2,19
API Gateway,critical,26,6,16,65.0,2473,39,5,3,5.139743880181044,3,16
User Authentication,critical,10,5,7,65.0,7753,61,4,2,4.96075995683467,3,7
User Authentication,low,41,2,6,65.0,6172,49,4,2,3.7560854299830524,2,6
Email Service,medium,30,7,10,65.0,4377,49,6,2,4.037178462196319,2,10
Email Service,low,25,8,6,65.0,3707,34,5,4,5.09810702513727,1,6
Payment Gateway,low,54,6,11,65.0,2158,52,4,3,2.520946785641044,3,11
Email Service,low,43,4,7,65.0,1916,53,2,4,5.215896997031546,3,7
Email Service,critical,18,4,7,65.0,4038,46,5,3,2.8715380801174524,1,7
